baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,normalized_faithfulness_EAP,normalized_faithfulness_EAP-IG
0.2660689651966095,-0.195549190044403,1000,820,-0.2064176052808761,802,-0.1876201927661895,-0.023544167648256106,0.017176528237009533
0.2660689651966095,-0.195549190044403,2000,1817,-0.1665010005235672,1766,-0.139160543680191,0.06292687839729708,0.12215430810941842
0.2660689651966095,-0.195549190044403,3000,2791,-0.2092182487249374,2785,-0.1045124605298042,-0.02961118085443965,0.1972121947133301
0.2660689651966095,-0.195549190044403,4000,3810,-0.1621740162372589,3800,-0.0506618246436119,0.07230039249586877,0.31386842947098753
0.2660689651966095,-0.195549190044403,5000,4814,-0.0609832890331745,4798,-0.0446278937160968,0.29150911740239327,0.3269396894702065
0.2660689651966095,-0.195549190044403,6000,5813,0.0194539129734039,5844,-0.0709861740469932,0.46575963396750075,0.2698399414823167
0.2660689651966095,-0.195549190044403,7000,6874,-0.0281754881143569,6816,-0.0631206259131431,0.36258041420112624,0.2868790203065529
0.2660689651966095,-0.195549190044403,8000,7917,-0.0486371926963329,7836,-0.043133907020092,0.31825437470362666,0.3301761018145711
0.2660689651966095,-0.195549190044403,9000,8929,-0.0543415881693363,8862,-0.0331061221659183,0.30589698492543416,0.35189921807488833
0.2660689651966095,-0.195549190044403,10000,9929,-0.0120714120566844,9852,-0.0135448519140481,0.3974665552136358,0.3942746533340522
0.2660689651966095,-0.195549190044403,11000,10936,0.0795593038201332,10868,0.0636193230748176,0.5959654981960167,0.5614348356465916
0.2660689651966095,-0.195549190044403,12000,11942,0.0607092082500457,11854,0.0649114996194839,0.5551306753969746,0.5642340681507629
0.2660689651966095,-0.195549190044403,13000,12940,0.0437343157827854,12864,0.1707450300455093,0.5183580912285775,0.7935004633833537
0.2660689651966095,-0.195549190044403,14000,13944,0.0547529458999633,13901,0.1579841822385788,0.5422276682633564,0.7658567330359889
0.2660689651966095,-0.195549190044403,15000,14949,0.0005582555313594,14905,0.0905054211616516,0.4248261108217765,0.6196779913404932
0.2660689651966095,-0.195549190044403,16000,15960,0.0232213120907545,15905,0.1375117748975753,0.47392092284788206,0.721507508230663
0.2660689651966095,-0.195549190044403,17000,16963,-0.0165847074240446,16901,0.1660803705453872,0.38768943679635043,0.7833954459633031
0.2660689651966095,-0.195549190044403,18000,17968,0.0811572819948196,17910,0.1821843832731247,0.5994271865125261,0.8182814497846421
0.2660689651966095,-0.195549190044403,19000,18968,0.0557395480573177,18922,0.2254493683576584,0.5443649372293903,0.9120060674005694
0.2660689651966095,-0.195549190044403,20000,19965,0.0235964655876159,19917,0.1998474597930908,0.4747336150970973,0.8565448419832097
